title                                                                                                                                                                        , year, subject                   , venue                                                                                                            , source_category, publication_type   , doi                                             , url                                                                    , cited_by_count, authors                                                                                                                                                                  , matched_terms, openalex_id
Vmxdotp: A RISC-V Vector ISA Extension for Efficient Microscaling (MX) Format Acceleration                                                                                   , 2026, "HW ISA extension"        ,                                                                                                                  , Other          , conference-paper   , 10.23919/date69613.2026.11539385                , https://doi.org/10.23919/date69613.2026.11539385                       ,              1, Max Wipfli; Gamze İslamoğlu; Navaneeth Kunhi Purayil; Angelo Garofalo; Luca Benini                                                                                       , risc-v       , https://openalex.org/W7163523010
Vectorized FlashAttention with low-cost exponential computation in RISC-V vector processors                                                                                  , 2026, "SW Opt"                  , The Journal of Supercomputing                                                                                    , Other          , article            , 10.1007/s11227-026-08322-x                      , https://doi.org/10.1007/s11227-026-08322-x                             ,              1, Vasileios Titopoulos; Kosmas Alexandridis; G. Dimitrakopoulos                                                                                                            , risc-v       , https://openalex.org/W7130847025
VectorWeaver: A Stage-Aware Automated Optimization Framework for LLM Inference on Edge Platform                                                                              , 2026, "SW Opt"                  , ACM Transactions on Architecture and Code Optimization                                                           , ACM            , article            , 10.1145/3799719                                 , https://doi.org/10.1145/3799719                                        ,              0, Pengfei Yang; Hui Zeng; Wenxuan Hou; MingWei Wang; Weiye Ji; Tianyang Zheng; Hui Li                                                                                      , risc-v       , https://openalex.org/W7133190264
Vectorizing Quantum Control: A RISC-V Vector Extension Architecture for Scalable Qubit Systems                                                                               , 2026, "HW ISA extension"        , arXiv (Cornell University)                                                                                       , Other          , preprint           , 10.48550/arxiv.2607.07372                       , https://doi.org/10.48550/arxiv.2607.07372                              ,              0, Xiaorang Guo; Kun Qin; Yanbin Chen; Carsten Trinitis; Martin Schulz                                                                                                      , risc-v       , https://openalex.org/W7167786408
"Vectorized Falcon-Sign Implementations using SSE2, AVX2, AVX-512F, NEON, and RVV"                                                                                           , 2026, "SW Opt"                  , IACR Transactions on Cryptographic Hardware and Embedded Systems                                                 , Other          , article            , 10.46586/tches.v2026.i1.302-324                 , https://doi.org/10.46586/tches.v2026.i1.302-324                        ,              0, Jipeng Zhang; Jiaheng Zhang                                                                                                                                              , risc-v       , https://openalex.org/W7124433263
VecIntrinBench: Benchmarking Cross-Architecture Intrinsic Code Migration for RISC-V Vector                                                                                   , 2026, "Benchmark"               ,                                                                                                                  , IEEE           , conference-paper   , 10.1109/iscas66217.2026.11562718                , https://doi.org/10.1109/iscas66217.2026.11562718                       ,              0, Liutong Han; Chu Kang; Mingjie Xing; Y N Wu                                                                                                                              , risc-v       , https://openalex.org/W7165109801
The RISC-V VecR extension: Adding internal registers to RVV                                                                                                                  , 2026, "ISA extension"           , ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam)                                                                 , ACM            , conference-paper   , 10.1145/3774895.3815548                         , https://doi.org/10.1145/3774895.3815548                                ,              0, Mariusz Szczepaniak; Syed Waqar Nabi; Νικέλα Παπαδοπούλου                                                                                                                , risc-v       , https://openalex.org/W7166659230
SPM-Arrow: A Memory-Hierarchy Optimized RISC-V Vector Accelerator for Energy-Efficient Machine Learning                                                                      , 2026, "HW optimization"         ,                                                                                                                  , IEEE           , conference-paper   , 10.1109/iatmsi68868.2026.11466272               , https://doi.org/10.1109/iatmsi68868.2026.11466272                      ,              0, Kisor Shanmuga Sundaram; Arun Kirthick Chithambaram; Rajesh Kannan Megalingam                                                                                            , risc-v       , https://openalex.org/W7151450410
Sparse matrix–vector product on RISC-V processors with SIMD units                                                                                                            , 2026, "SW Opt"                  , Computing                                                                                                        , Other          , article            , 10.1007/s00607-026-01658-5                      , https://doi.org/10.1007/s00607-026-01658-5                             ,              0, Andrés E. Tomás; Héctor Martínez; Sandra Catalán; Patricia Siwinska; Adrián Castelló; Marc Casas; Enrique S. Quintana-Ortí                                               , risc-v       , https://openalex.org/W7153896902
SEAM-V: A Hybrid-Decoupled RISC-V Vector Processor with Backend-Visible EP Context for Sustained Vector Throughput                                                           , 2026, "HW VPU"                  , arXiv (Cornell University)                                                                                       , Other          , preprint           , 10.48550/arxiv.2607.17899                       , https://doi.org/10.48550/arxiv.2607.17899                              ,              0, Weiying Wang; Zhiwei Zhang                                                                                                                                               , risc-v       , https://openalex.org/W7169856649
RVV-Morpher: A Semantic-Aware Static Binary Rewriter for Cross-Version Portability in RVV                                                                                    , 2026, "SW"                      , ACM Transactions on Embedded Computing Systems                                                                   , ACM            , article            , 10.1145/3820780                                 , https://doi.org/10.1145/3820780                                        ,              0, Yuexi Zou; Jianing Yang; Jianmei Guo; Bo Huang                                                                                                                           , risc-v       , https://openalex.org/W7164358934
